"ABD BULLDOG,"
ACD AUSTRALIAN CATTLE DOG 
"AFG HOUND, AFGHAN "
African Boerboel
"AIR TERRIER, AIRDALE "
AKI AKITA 
"ANA SHEPHERD, ANATOLIAN "
ARG ARGENTINE DOGO 
"ASI SHEPHERD, AUSTRALIAN "
"AST TERRIER,AMERICAN STAFFORD "
"AUS TERRIER, AUSTRALIAN "
"AWS SPANIEL, AMERICAN WATER "
"BAS HOUND, BASSET "
BASSETT 
"BDC COLLIE, BEARDED "
BDF BOUVIER DES FLANDERS 
"BDT TERRIER, BORDER "
BEA BEAGLE 
"BED TERRIER, BEDLINGTON "
BEL BELGIAN TERVERUEN 
BER BERNESE MOUNTIAN DOG 
BIC BICHON FISE 
BJI BASENJI 
"BLD HOUND, BLOOD "
"BMS MASTIFF, BULL "
BOL BOLOGNESE 
"BOR COLLIE, BORDER "
"BOS TERRIER, BOSTON BULL "
BOX BOXER 
BRI BRIARD 
"BRS GRIFFON, BRUSSELS "
"BRT SPANIEL, BRITTANY "
BRZ BORZOI 
"BSH SHEPHERD, BELGIAN "
CAN CANAAN DOG 
"CAT HOUND, CATAHOULA "
"CBR RETRIEVER, CHESAPEAKE BAY "
CCR CHINESE CRESTED 
CDT COTON DE TULEIRE 
CHN JAPANESE CHIN 
CHW CHOW CHOW 
"CLH CHIHUAHUA, LONGHAIR "
"CLM SPANIEL, CLUMBER "
"CLR COLLIE, ROUGH "
"CLS COLLIE, SMOOTH "
"CMH, CHIHUAHUA, MEXICAN HAIRLESS "
"COC SPANIEL, COCKER "
"COH HOUND, COON "
"CRN TERRIER, CAIRN "
"CSH CHIHUAHUA, SHORTHAIR "
"CUR RETRIEVER, CURLY COAT "
"CWC CORGI, CARDIGAN WELSH "
DAL DALMATIAN 
"DAN TERRIER, DANDIE DINMONT "
"DCL DACHSHUND, LONGHAIR "
"DCW DACHSHUND, WIREHAIRED "
DDB DOGUE DE BORDEAUX 
"DER HOUND, SCOTTISH DEER "
DOB DOBERMAN PINSCHER 
"DOG MASTIFF, FRENCH "
"DSC DACHSHUND, SMOOTH "
"DSM DACHSHUND, MINIATURE "
"EBD BULLDOG, ENGLISH "
"ECS SPANIEL, ENGLISH COCKER "
"ESK ESKIMO, AMERICAN "
"ESS SPANIEL, ENGLISH SPRINGER "
"EST SETTER, ENGLISH "
"ETS SPANIEL, ENGLISH TOY "
"FBD BULLDOG, FRENCH "
"FCR RETRIEVER, FLATCOATED "
"FHA FOXHOUND, AMERICAN "
"FHE FOXHOUND, ENGLISH "
FIL FILA BRASILEIRO 
"FLD SPANIEL, FIELD "
"GDS SETTER, GORDON "
"GER SHEPHERD, GERMAN "
"GJT TERRIER, GERMAN JAGD "
"GLD RETRIEVER, GOLDEN "
GRP GREAT PYRANESE 
GRT GREAT DANE 
"GRY HOUND, GREY "
"GSP POINTER, GERMAN "
"GTS SCHNAUZER, GIANT "
HAV HAVANESE 
"IBI HOUND, IBIZAN "
"IRS TERRIER, IRISH "
"ITI HOUND, ITALIAN GREY "
"IWS SPANIEL, IRISH WATER "
JIN JINDO 
"JRT TERRIER, JACK RUSSELL "
"KBT TERRIER, KERRY BLUE "
"KCS SPANIEL, KING CHARLES "
KEE KEESHOUND 
KEL KELPIE 
KOM KOMONDOR 
KUV KUVASZ 
"LAB RETRIEVER, LABRADOR "
LAN LANDSEER 
LAS LHASA APSO 
LEO LEONBERGER 
"LLT TERRIER, LAKELAND "
LOW LOWCHEN 
MAL ALASKAN MALAMUTE 
"MAS MASTIFF, OLD ENGLISH "
"MCT TERRIER, MANCHESTER "
MIN MINIATURE PINSCHER 
"MIS SCHNAUZER, MINIATURE "
MLT MALTESE 
"MPO POODLE, MINIATURE "
"NEH HOUND, NORWEGIAN ELK "
"NEO MASTIFF, NEAPOLITAN "
NEW NEWFOUNDLAND 
"NFT TERRIER, NORFOLK "
NGU NEW GUINEA SINGING 
"NWT TERRIER, NORWICH "
"OLD SHEEPDOG, OLD ENGLISH "
"OTT HOUND, OTTER "
PAP PAPILLION 
"PBG GRIFFON VENDEEN, PETITE "
PEK PEKINGESE 
"PEM CORGI, PEMBROKE WELSH "
"PHA HOUND, PHAROAH "
"PIT TERRIER, PIT BULL "
"PLT HOUND, PLOTT "
PNT POINTER 
POM POMERANIAN 
PPC PERRO DE PRESA CANARIO 
PUG PUG 
PUL PULI 
PWD PORTUGESE WATER DOG 
"QWP POINTER, GERMAN WIREHAIRED "
"RAT TERRIER, RAT "
ROD RHODESIAN RIDGEBACK 
ROT ROTTWEILER 
SAL SALUKI 
SAM SAMOYED 
SBA SHIBA-INU 
"SBT TERRIER, STAFFORDSHIRE BULL "
"SCT TERRIER, SCOTTISH "
"SET SETTER, IRISH "
"SFT TERRIER, SMOOTH FOX "
SHI SHIH-TZU 
"SHP SHEEPDOG, BELGIAN "
"SHT SHEEPDOG, SHETLAND "
SIB SIBERIAN HUSKY 
SKP SCHIPPERKE 
"SKY TERRIER, SKYE "
"SLY TERRIER, SELYHAM "
"SPO POODLE, STANDARD "
SPZ SPITZ 
STB ST. BERNARD 
"STS SCHNAUZER, STANDARD "
"SUS SPANIEL, SUSSEX "
"TBS SPANIEL, TIBETAN "
"TFT, TERRIER, TOY FOX "
"TIB TERRIER, TIBETAN "
"TMT TERRIER, TOY MANCHESTER "
TOS TOSA 
"TPO POODLE, TOY "
VIZ VIZSLA 
WEI WEIMARANER 
"WEL TERRIER, WELSH "
"WES TERRIER, WEST HIGHLAND "
"WET TERRIER, SOFT COATED "
"WFT TERRIER, WIREHAIRED FOX "
WHITE Terrier
"WOF HOUND, IRISH WOLF "
"WPG GRIFFON, WIREHAIRED "
"WSS SPANIEL, WELSH SPRINGER "
"YRK TERRIER, YORKSHIRE "